,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Log Loss,Brier Score,True Negative,False Positive,False Negative,True Positive
Gradient Boosting,0.8545,0.657608695652174,0.5945945945945946,0.6245161290322581,0.8650946786540007,0.7151852145821768,0.34446520101952566,0.10474497211060872,1467.0,126.0,165.0,242.0
Random Forest,0.84,0.6058394160583942,0.6117936117936118,0.60880195599022,0.8539988370496845,0.6760062217275825,0.3836749423563939,0.11914175630538015,1431.0,162.0,158.0,249.0
XGBoost,0.859,0.7035830618892508,0.5307125307125307,0.6050420168067226,0.8507999524948677,0.6954414061231143,0.35039986668859785,0.10502011236192323,1502.0,91.0,191.0,216.0
Logistic Regression,0.767,0.45590433482810166,0.7493857493857494,0.5669144981412639,0.837985905782516,0.6291753164962147,0.4903421548472353,0.16031190761891562,1229.0,364.0,102.0,305.0
Decision Tree,0.805,0.5166994106090373,0.6461916461916462,0.574235807860262,0.8148811369150352,0.6217781859251744,0.5422535515861134,0.1425365706340999,1347.0,246.0,144.0,263.0
