Metric,Reference,Current,AbsoluteChange,PercentageChange
Accuracy,0.8814285714285715,0.8656666666666667,-0.015761904761904755,-1.7882225823878977
Precision,0.7312599681020734,0.7014388489208633,-0.02982111918121011,-4.078046178106595
Recall,0.650354609929078,0.6220095693779905,-0.028345040551087552,-4.358397729229384
F1,0.6884384384384384,0.6593406593406593,-0.02909777909777911,-4.2266348700372705
ROC_AUC,0.9054681612301603,0.8966980336332923,-0.008770127596868016,-0.9685738242803597
PR_AUC,0.7772263113068677,0.7651393585181906,-0.012086952788677108,-1.5551394250091062
LogLoss,0.301268531106319,0.31678962082856665,0.015521089722247638,5.1519120384897334
BrierScore,0.08955494929153289,0.09593724341414278,0.006382294122609891,7.126679399742919
