K,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin
2,104951.5630234192,0.21717320531146464,2386.19083462602,1.814219599345945
3,93868.91666735144,0.17175458578281036,1923.9768235708511,1.9221229345463697
4,86836.23518551943,0.1663702421608464,1656.24222625761,1.9048306878376855
5,77238.61781677703,0.16626616269450714,1706.8887653082668,1.522378074678255
6,72119.18731244982,0.1552564244007794,1604.1834087005413,1.6195778187881826
7,68089.79810630862,0.15703433160942604,1514.3449403823415,1.6658906150989734
8,64899.36361086964,0.15371660224881192,1431.8576711409191,1.6765719522710232
