Cluster,CustomerCount,ChurnRate,AvgAge,AvgCreditScore,AvgBalance,AvgSalary,AvgCustomerValue,AvgProducts,ActiveMemberRate,AvgEngagement,AvgTenure,CustomerPercentage
0,3653,14.1,38.44,649.48,597.42,98423.21,99020.63,1.79,51.93,1.99,5.06,36.53
1,6347,23.98,39.2,651.13,120163.31,101049.69,221213.0,1.38,51.27,1.55,4.98,63.47
