Model,BrierScore,LogLoss
Gradient Boosting,0.10474497211060872,0.34446520101952566
XGBoost,0.10502011236192323,0.35039986668859785
Random Forest,0.11914175630538014,0.3836749423563939
Logistic Regression,0.16031190761891562,0.4903421548472353
